r_mean,g_mean,b_mean,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,b_0,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,grad_mean,grad_std,label
162.4326,157.7632,122.9647,193.3269,146.4095,161.7838,176.5663,197.7526,156.0946,173.3074,136.7785,120.6190,196.3578,163.7213,165.5562,166.5338,161.9708,175.6336,165.4018,108.4105,117.0167,187.9951,129.3377,154.1654,124.8178,69.1854,122.5318,137.5096,69.9908,112.2344,0.063170,0.075459,0
134.4068,118.5382,102.0973,160.5827,163.8520,146.7613,132.8279,133.2984,76.2038,117.7775,131.9403,147.3232,142.4530,150.6425,141.8336,103.4740,107.6238,71.6010,102.8711,113.0743,134.3279,130.7796,129.3597,132.6322,72.5168,74.0689,68.2013,89.4029,97.4330,125.6346,0.051006,0.064215,0
73.3521,55.8172,28.6611,89.3958,143.7997,70.9858,85.5755,79.6976,61.2379,27.0640,57.3383,46.1962,57.3694,78.8234,56.1207,79.0681,56.6414,40.7233,38.7164,59.3443,35.8788,28.1778,37.8386,32.8308,39.8033,43.9655,17.9919,7.2683,20.9412,29.3038,0.042772,0.053782,0
220.0984,204.8436,185.1224,250.6715,244.7929,254.2351,207.1851,169.4640,175.1141,241.1065,219.5395,221.0725,246.8560,239.3769,253.9393,166.0489,127.8288,151.6456,236.2705,209.8485,214.7413,240.2446,229.2626,253.3263,106.8522,71.9499,128.6208,230.4092,195.8979,213.1677,0.021138,0.043983,0
213.9067,198.3760,166.0423,241.2239,209.6438,243.9574,243.8314,194.1178,223.8191,199.9786,178.9580,190.2078,223.6103,181.0798,237.7180,227.1131,151.4697,211.0907,199.9786,166.4519,187.6131,181.2771,120.3550,227.2034,183.2884,67.9335,189.4308,199.9786,141.7504,184.0490,0.031689,0.066343,0
117.8927,98.5468,79.0265,90.2051,85.3157,82.1215,135.2950,113.6545,103.6060,172.7386,154.8457,121.8108,83.7271,99.6852,105.9412,100.3111,94.3118,88.3994,94.7082,115.3044,104.1782,81.1592,68.1994,53.9354,83.8999,85.9765,74.9172,79.0486,99.2721,84.2048,0.088183,0.077160,0
179.7652,167.4742,100.2436,159.8459,193.3632,170.4521,173.0132,186.9235,196.2171,164.8739,175.0835,197.5600,149.5692,184.3321,155.8921,155.1490,176.2067,186.2390,150.7938,158.3581,190.1029,94.4736,111.8165,102.3549,72.5402,105.8041,117.1660,84.2992,78.4479,134.6311,0.057215,0.056724,0
164.0626,121.5916,42.9137,163.8799,184.4528,157.6097,173.3685,181.9500,156.8013,189.1175,151.9701,118.5024,112.3295,128.1990,119.5108,123.2030,128.7392,120.0813,157.6535,110.3396,94.6971,17.7193,35.7159,53.8923,33.2911,25.8403,52.9862,87.1430,20.6569,58.3952,0.058514,0.062060,0
76.7974,67.4161,27.2529,97.6994,88.2663,124.1208,45.8735,87.1992,75.1697,50.5213,71.0133,50.8291,85.6703,86.8937,85.6238,48.8231,82.1564,61.2436,44.3075,63.2650,48.4489,39.7559,39.6808,21.8655,18.7219,42.9705,18.1620,27.1314,21.0360,16.0032,0.059164,0.050120,0
130.5228,119.1470,71.4443,64.5016,103.9302,77.3140,156.0290,186.3829,104.8289,167.2645,163.1368,151.2673,83.7976,106.0679,86.9965,151.5473,147.2156,95.2054,142.3816,127.9829,131.3990,56.9505,57.6889,57.5146,101.0183,58.4165,63.0533,93.4408,63.1200,92.2898,0.055593,0.059894,0
